gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
APTX,background,0.004522209907750962,0.6425864478392216,0.00370861609354988,0.7047166297568814,-0.0016381248698659806,0.868811688684029,False
C9,background,0.040777057350548915,2.8340245349437042e-05,0.04005500008031068,4.228803909940031e-05,0.02452404986984632,0.014808488834795817,False
LINC02731,background,0.061457174883013825,2.738665720090169e-10,0.062311030987995154,1.8492799181869636e-10,0.010443120982584857,0.29777291880552714,False
KLHL7,background,0.0497556654731792,3.2344881348221446e-07,0.048915020170146345,5.694222804474887e-07,-0.01700761333565892,0.08644082179628058,False
TAS2R42,background,-0.016029652456060195,0.09994542500907841,-0.01617225607422206,0.09840245071752537,-0.018961024295588196,0.059273876597271215,False
LINC02963,background,0.004408969165819481,0.6509345567184369,0.0036497333773678154,0.7091898628806594,-0.0011374241758168504,0.9100919565835158,False
NCKIPSD,background,-0.030727612016673976,0.0016098980803682832,-0.03106549237435054,0.0014975806433424757,-0.009656755035199891,0.32949414433522217,False
FTH1P4,background,0.06709079511968506,5.4692493992168405e-12,0.06656348795415026,9.810683746623796e-12,0.04486109591650707,8.068670594326914e-06,False
H3P16,background,-4.571718170618094e-05,0.9962566275954141,-0.00032999319203110716,0.9731005001532649,-0.012165908521020223,0.2266179463189483,False
EIF4A2P3,background,0.0003478159289572786,0.9715263956046649,-3.9579048649452395e-05,0.9967730987502956,-0.004924834966095081,0.6257715959551208,False
RASA4,background,0.26710582441115704,1.525630456047621e-171,0.26891648241412885,1.8111413928040713e-172,0.1718153749087739,8.529948173224972e-68,False
RNF152P1,background,0.05194180873476537,9.605671170169547e-08,0.05181856373182756,1.1671306517105418e-07,0.03938071081846018,9.57592363100047e-05,False
UBA6,background,0.15685121321368636,5.303164279271317e-59,0.1565188111349366,2.8592658327701406e-58,0.07970090099240722,1.2007322879559642e-15,False
MED16,background,-0.048206347281106815,7.422783190226479e-07,-0.048233823910440364,8.15676145367172e-07,-0.011586993904970574,0.2438038501692278,False
RN7SKP109,background,-0.010632654255927024,0.2303216268436267,-0.010130221848832908,0.25487043598827375,-0.014040520781499713,0.12315557845150231,False
MIR5692C1,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
MAP10,background,0.15515231497605986,9.369510449527089e-58,0.15484121361279,4.728139713781321e-57,0.04160941524568417,2.350611748105814e-05,False
RIC8A,background,0.14244313289644553,7.15496255339821e-49,0.1421437082472068,2.85219248401826e-48,0.08005083787118963,3.863318731980334e-16,False
LINC00343,background,-0.024844618659490354,0.009695482462193409,-0.024319036854342835,0.011697924447678773,-0.013474282159889715,0.1720194773443465,False
CCDC68,background,0.17915705127877085,1.0618561450381905e-76,0.17973321740094061,1.5123075703720667e-76,0.12807362676370068,1.1088523351711657e-38,False
CD99,background,0.2369798832616732,2.1450213639368424e-134,0.23613489092650286,2.6583255827470616e-132,0.1169221323969332,1.030112324818791e-32,False
BDNF-AS,background,-0.028235857208376302,0.0037527657415790147,-0.026692903081081236,0.006370714293195576,-0.051401519875534776,3.07219039922949e-07,False
EEF1B2P3,background,0.0404891726277575,3.2269567285481555e-05,0.03958032644936498,5.208957277748187e-05,0.035391380534593384,0.00037557852477796555,False
ZNF733P,background,-0.0023678342477080083,0.8064855208256305,-0.0008641439491981506,0.9290657294279124,-0.013622886068991936,0.17129700326777206,False
ZNF362,background,0.0944266534386843,2.678638061907145e-22,0.09478352475153339,2.809845822609948e-22,0.03667706844266512,0.00022232200921733754,False
GABRR3,background,0.09145816905624723,5.181440636865391e-21,0.09245148685197854,2.871376819730929e-21,0.03225571716783361,0.0013832904872532405,False
SPATA1,background,0.02699807539735163,0.005586191591658024,0.02811842987984128,0.004055500244851706,-0.005229237068190176,0.6012102363033199,False
RNU6-353P,background,-0.003745643227740348,0.3878894139607144,-0.0037660877038555455,0.38863406601383577,0.002807154418992269,0.48379929401192323,False
RNU6-703P,background,-0.0042528445208994195,0.10792489156336811,-0.004276057403959196,0.10847844677224808,-0.0037479258020105596,0.18461758949618745,False
IFITM10,background,0.15420498437554925,4.581629299519693e-57,0.15464848514677282,6.513175687720647e-57,0.11030436962872936,2.105606341261189e-28,False
IGKV4-1,background,0.6755458953428354,0.0,0.6753359796293765,0.0,0.45290717629152966,0.0,False
LOC101929305,background,0.04404521663444258,5.395772625412446e-06,0.04415691280643713,5.600253524527951e-06,0.0378679349481874,0.00017196429015086748,False
FMO8P,background,0.005802326897337607,0.5500522019195693,0.006998421015115686,0.4728689919575564,-0.00013126369690255328,0.9896746511714014,False
LINC03053,background,0.004658870281303124,0.6325717082792759,0.0067944646667769636,0.48749956572782016,0.0021422129075776447,0.8315657621915338,False
PPIAP15,background,-0.013039331935009764,0.1781232706800118,-0.012909991987750462,0.18433187615297253,-0.01175109214586443,0.24577238833314868,False
UBL7-DT,background,0.07892415938201908,4.975339391853539e-16,0.07790772182472985,1.5484825236054728e-15,0.027307491828246433,0.005884408241193772,False
RPL5P34,background,-0.07926122256145922,3.7352322047971457e-16,-0.07793404966672145,1.5149690115932543e-15,-0.04734281097447226,2.3326147903614345e-06,False
PLLP,background,-0.018513648760808066,0.05742120423933093,-0.018228785011847933,0.062484962803926944,-0.009784579607356946,0.3285817101561691,False
NHLRC3,background,0.1747754851095046,4.989502784910613e-73,0.17525813558500072,8.125083027654884e-73,0.08449285870307403,1.4327523379380912e-17,False
ANKRD65,background,0.12111292032522378,1.0229965125908878e-35,0.12126505884996468,1.640997277770588e-35,0.050388522185936195,4.5150807039965676e-07,False
RN7SKP252,background,-0.013293557758705618,0.1434020089043753,-0.012829928318981918,0.15950692817343454,-0.018817518358158414,0.04643951185957944,False
RANBP10,background,0.06973770412706877,7.754638497464658e-13,0.07042904388691429,5.776937497810671e-13,0.038740161480652596,9.882717363335458e-05,False
AGAP7P,background,0.06872268076300754,1.6544821807686078e-12,0.06667340798866048,9.070995544978818e-12,0.04373724629867561,1.3741876075215701e-05,False
NCBP3,background,0.07319438217324394,5.414137305213418e-14,0.07371190482860218,4.6135112075160214e-14,0.03826651397510261,0.00011895055691640101,False
RN7SL151P,background,-0.0020138974476341717,0.8349902212607614,-0.0014512491710686054,0.8811809238263454,-0.0005493120859035937,0.9561246214223101,False
MIR1915HG,background,0.05064717741026824,1.9831727974183074e-07,0.0516205367620139,1.3039193342280122e-07,0.017508917656242764,0.07954484821914085,False
NUDT22,background,0.005044919663036691,0.6046476588941239,0.00434628317828284,0.6569549505766032,0.008300760761316089,0.4012254748584082,False
SAP30BP,background,0.10842680762051943,6.398542218383254e-29,0.10897645614154763,5.790061480092303e-29,0.0713296038255504,5.061635479326371e-13,False
FGF17,background,-0.08919020906901129,4.6753411661354563e-20,-0.08840584341451924,1.4120048925532583e-19,-0.04610070983653943,4.3437673046481985e-06,False
PSMA2,background,0.10892464187420783,3.5784957537789745e-29,0.10751589775796079,3.118311302232393e-28,0.062446756991940786,2.3375846879431145e-10,False
RNU1-74P,background,0.0031592870797666085,0.7063060597709019,0.0031765311057766134,0.7067453258718644,0.0063115463369956834,0.4616043376365473,False
LOC102724737,background,-0.04832410955005176,6.974633279914461e-07,-0.049573063539324655,4.005981591060061e-07,-0.015253873687518028,0.13066272744457408,False
LOC105369736,background,0.00023841198521067626,0.970000187786093,-0.00047883228418271127,0.939824255219593,-0.0033599420192544837,0.6173980848966942,False
MTCYBP17,background,0.0019307596915233065,0.8206669027673379,0.0019586467567746955,0.8187367495814935,0.003308331118272634,0.7100504338668548,False
MIR4489,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
NANOGNB,background,0.00751408972779041,0.4356913257542301,0.008347439485879906,0.38853063315103364,-0.0029581655166987654,0.7680300764038547,False
PPP1R11,background,0.047433557703739686,1.113049265887179e-06,0.04734877645334542,1.291963093843292e-06,0.0030456289969091714,0.7580172295780089,False
ASH2LP1,background,0.14421091296291835,2.0433942717285032e-50,0.1454509212689331,7.624540164330331e-51,0.07567404433570225,7.780193281327419e-14,False
LNCMB2,background,0.20348146989419216,7.458385323032034e-99,0.2022023588960038,8.525922710245646e-97,0.09857913438180767,7.530592570891702e-23,False
LINS1,background,0.22190337408016625,1.1545792825343169e-117,0.2208277718358624,1.5439003479282741e-115,0.151294866335943,3.9262176937503507e-53,False
IL6R-AS1,background,0.2961817278750453,2.7828000569372434e-212,0.2967517281217296,2.509792598509102e-211,0.17294462755336265,5.760207550626052e-69,False
RN7SKP264,background,-0.03064204520512596,0.0015025859970442133,-0.029569665865129973,0.0022877762255617746,-0.02905681491581481,0.0035070474372378333,False
KCNIP3,background,-0.04310943673827272,9.596031756828091e-06,-0.04162171861056443,2.091394919443839e-05,-0.060052097236184446,1.8550591108370077e-09,False
SYNPO2L,background,0.04338377554994792,8.417735855962533e-06,0.04415750478517139,6.350308209349662e-06,0.010228442107363848,0.3097267239970064,False
SDR42E1P2,background,0.002150372253347149,0.8223550071875619,0.002253980268587461,0.8147137752518355,-0.00582516538220973,0.5582911267598913,False
RN7SL26P,background,-0.011750132244492182,0.22290830324617533,-0.012317744658718469,0.20326041588220836,-0.0034071395920387106,0.7308614843544283,False
GCDH,background,-0.0399010644809237,4.196209219307925e-05,-0.03985259106715758,4.623196478453879e-05,-0.03630932490120991,0.00026416079322211705,False
CGB3,background,-0.004912652027968949,0.61415273627872,-0.005388170577207954,0.5819168383187316,-0.006870543276417336,0.497082862844641,False
ICMT,background,0.12076267220501534,1.6133847152768047e-35,0.12015127196148187,6.882809885552773e-35,0.038978763102018255,8.70113515142291e-05,False
NSUN7,background,-0.027753339110044968,0.004390069676150399,-0.027173709943275188,0.005482573712646982,-0.08240831233992489,1.4117751259613677e-16,False
SMAD3,background,0.09488553640537586,1.6802687418229947e-22,0.0953980068252734,1.5084578360172e-22,0.04390085796424397,1.0605535948561988e-05,False
ILF2P1,background,-0.04543595291426398,3.0833590507095408e-06,-0.044867318284622724,4.4962495249016334e-06,-0.035283019973637704,0.00044673498431631445,False
RNU6-979P,background,-0.005064263670369743,0.11662077115853084,-0.005145154189143305,0.10443422741822406,-0.007912143330444392,0.01852506692230643,False
ZBTB21,background,0.1578492035740002,9.667051497861209e-60,0.15868765407293015,7.256586085172537e-60,0.06505005734368748,7.041126712193506e-11,False
GZMA,background,0.8178363006341111,0.0,0.8175275823418143,0.0,0.7546975153036813,0.0,False
LOC105373559,background,-0.0005778068428532461,0.9527160821861853,-0.0002018641405308443,0.9835430294137303,-0.020887369429813805,0.0383020889884565,False
LINC02671,background,-0.02222832202739903,0.022024529981462832,-0.022349643193348343,0.021869100132559265,-0.014718323684304079,0.13997720434916622,False
LRRC14B,background,0.05193297543117314,9.653865351448075e-08,0.052448436184709006,8.182186290469023e-08,0.0019666881224068345,0.844965625744047,False
SF3A3,background,0.1566722416600393,7.1876582794538105e-59,0.1561932658427233,4.940459249805769e-58,0.07035908483382644,1.2095199846815946e-12,False
RNU6-77P,background,2.5849394142282115e-25,1.0,-4.722942803736365e-22,0.0,1.052070341590882e-21,0.0,False
DPY19L1P1,background,-0.028739981070767903,0.003177788891883268,-0.028534366733372243,0.0035416460216085226,-0.01337603848422456,0.18025513095640205,False
HMOX1,background,0.503867574877573,0.0,0.5039567211074382,0.0,0.3242375337614069,9.866726092124416e-248,False
HMGB1P3,background,0.13883545507228265,1.710953440123727e-46,0.13753268807309635,2.830030799564604e-45,0.10235883319458514,2.124856224716201e-24,False
HERPUD2,background,0.2091652587884282,1.8125159459968696e-104,0.20893703970575528,2.29689916676248e-103,0.09694220751125876,1.0559949889016282e-22,False
LINC02526,background,0.009669249831739028,0.32104556762470177,0.010041235173594851,0.3048557583019239,0.01713888162760548,0.08831455328466557,False
TBPL1,background,0.09760964021060302,1.0066153336053484e-23,0.09756552808161835,1.6281248118675487e-23,0.05916139874937766,2.21934314090373e-09,False
