gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage,bg_abs_percentile,immune_associated_effectsize,immune_fdr_adj
IRF4,hot_specific,0.7019797101385449,0.0,0.7016256025920464,0.0,0.482702687273134,0.0,True,0.9866666666666667,True,0.0
BCL2A1,hot_specific,0.7004271114141392,0.0,0.7004571772198794,0.0,0.459651322404661,0.0,False,0.9866666666666667,True,0.0
BHLHE41,hot_specific,0.3137327473081001,2.662715645902799e-239,0.31452010885861703,1.6094190324898204e-238,0.1864115776364934,4.750122995660653e-80,False,0.9466666666666667,False,6.974149140789222e-238
MITF,hot_specific,0.30679818164489364,2.1117597315868882e-228,0.3089507932170061,8.615079345635845e-230,0.15427368346140438,4.405045591944105e-55,True,0.9466666666666667,False,2.7999007873316495e-229
USP18,hot_specific,0.2995496104278644,2.536857350339541e-217,0.2984915774583466,6.616566000352067e-214,0.21544204155930025,1.5539474543233907e-105,False,0.9433333333333334,False,1.7203071600915374e-213
MAFF,hot_specific,0.12681296302809367,5.101752410404687e-39,0.12691692700612373,9.23121415429179e-39,0.08038430837832745,7.15054438173631e-16,False,0.7633333333333333,False,2.0000964000965544e-38
SOX10,hot_specific,0.12397642499493743,2.346009619901498e-37,0.12529956189639121,8.140753334405035e-38,0.04889716784130856,1.3400494251120715e-06,True,0.76,False,1.5118541906752207e-37
TEAD3,hot_specific,0.04416701471957619,5.766666451506744e-06,0.04293891256696114,1.1351776860837787e-05,-0.014778706027870434,0.1376617433730146,False,0.5066666666666667,False,1.8446637398861403e-05
SEMA4B,hot_specific,0.04312737640971939,9.514396434613663e-06,0.04115251245894969,2.5890188148625072e-05,0.017881646659519405,0.07258640675293189,False,0.5,False,3.7396938436902886e-05
MDM2,hot_specific,0.022740767903214252,0.01959415983690164,0.02214084949556337,0.0236535506261214,0.018993471604058315,0.057616959871647395,False,0.39666666666666667,False,0.02562467984496485
HIC2,hot_specific,0.015760602997417158,0.10576989045944488,0.01625515797840822,0.09668909801562484,0.013311153304973785,0.18161591915663833,False,0.33666666666666667,False,0.09668909801562484
CDH1,hot_specific,-0.029803737919434414,0.002219056643601794,-0.031042029370732454,0.0015100110508535168,-0.06757554525652945,1.2970716845782448e-11,False,0.4533333333333333,False,0.0017845585146450654
ASCL5,hot_specific,-0.03041140645073975,0.0017984996680166466,-0.03112712781287408,0.0014653746812700007,-0.033054881436761725,0.000995880026910055,False,0.45666666666666667,False,0.0017845585146450654
