gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
IRF4,-0.5883087414155319,-0.14715865904114409,-0.4411500823743878,-8.189166444637001,2.6304155824736075e-16,-0.6457080443762324,-0.5277964720212935,-0.22745322763506537,-0.05468712117821428,1.0,0.999,1843.0,2288.0,1.0,1.0,1.1600132718708608e-13
BCL2,-0.13877760519030466,-0.4936680895450867,0.354890484354782,6.236527712511028,4.473900887413518e-10,-0.21202289730630802,-0.04158224035483066,-0.5595130048792925,-0.42835320415355205,0.9985,1.0,2350.0,2095.0,1.0,1.0,9.864951456746807e-08
SOX2,-0.30203829348697386,-0.5979173815717451,0.29587908808477126,5.877750798239623,4.158783514203453e-09,-0.38360442480151496,-0.2114521294911355,-0.6524723799165089,-0.5398635167302321,1.0,1.0,2152.0,1628.0,1.0,1.0,6.113411765879076e-07
GATA3,-0.28747608349121945,-0.5845973237488836,0.2971212402576642,5.8072966439407825,6.3489591791269754e-09,-0.37263222866283696,-0.20148385633625937,-0.6431717713272116,-0.5237704760860702,1.0,1.0,2277.0,1853.0,1.0,1.0,6.99972749498749e-07
MYCN,-0.4380261303369447,-0.66741863859051,0.22939250825356527,5.227232267939798,1.7206629269685316e-07,-0.5054615232580986,-0.36252425104057795,-0.7163081394994135,-0.6169203986248337,1.0,1.0,1810.0,1492.0,1.0,1.0,1.517624701586245e-05
SALL1,-0.07044842956229883,-0.37247523569223606,0.30202680612993726,4.985378673866624,6.184057519347588e-07,-0.15465780724535444,0.022476645391479755,-0.44975346905391844,-0.3004417016691256,0.9365,1.0,2382.0,2150.0,1.0,1.0,4.545282276720477e-05
TEAD3,-0.47000412533871894,-0.1961803473265442,-0.2738237780121747,-4.839111460375138,1.304208922196994e-06,-0.5393604461696682,-0.40007558328381304,-0.2792243739643676,-0.11048070914605873,1.0,1.0,1826.0,2131.0,1.0,1.0,8.216516209841062e-05
SOX9,-0.10196730434396678,-0.38104006808521784,0.27907276374125106,4.646897794777511,3.369640080721203e-06,-0.19526038783354055,-0.012993801005791061,-0.4606239323201875,-0.3083524919742668,0.9855,1.0,2653.0,2205.0,1.0,1.0,0.0001857514094497563
LIN28B,-0.15789582177389427,-0.4237644191943194,0.2658685974204251,4.555043609283076,5.23747115849026e-06,-0.24014149754690678,-0.06798479062950152,-0.49353586254797865,-0.35574923280597415,1.0,1.0,2234.0,1954.0,1.0,1.0,0.0002566360867660228
HIC2,-0.5452791150034263,-0.31145497802745903,-0.23382413697596727,-4.499685220070116,6.805416101441361e-06,-0.6078563392671879,-0.48160346646227664,-0.3896517371391229,-0.23131662689181653,1.0,1.0,1770.0,1996.0,1.0,1.0,0.000300118850073564
FOXA1,-0.29186991135288026,-0.5287170007528254,0.2368470893999451,4.4728167112155965,7.719594285069865e-06,-0.3694233940652269,-0.20753219930581407,-0.598566643242936,-0.46907028823145747,1.0,1.0,2039.0,1676.0,1.0,1.0,0.0003094855527014373
FGFR2,-0.1599672799440391,-0.41009834799429534,0.25013106805025626,4.264881902054909,2.000079650114466e-05,-0.24856412613033813,-0.07431185721310496,-0.4811628644042185,-0.3343364443296984,1.0,1.0,2379.0,2105.0,1.0,1.0,0.0007350292714170663
FOXA2,-0.35491751653893205,-0.5619563201975233,0.20703880365859123,4.1133707197469365,3.899234472150402e-05,-0.43438325897346136,-0.2782307733432716,-0.6213464269593818,-0.5014303467387966,1.0,1.0,2187.0,1724.0,1.0,1.0,0.0013227403093987134
ZNF217,-0.23140355416283329,-0.4604091110986218,0.22900555693578853,4.074967442226345,4.6020785159995095e-05,-0.32120369259048825,-0.15036026194083774,-0.5270571214031194,-0.38669996588249195,1.0,1.0,2148.0,1831.0,1.0,1.0,0.0014496547325398455
TRPS1,-0.34305678718367094,-0.5449699423351997,0.20191315515152874,3.9426386397642874,8.059003553208513e-05,-0.4191641143864693,-0.2596109277595681,-0.6098372343543113,-0.48829610766910414,1.0,1.0,2219.0,1826.0,1.0,1.0,0.0023693470446433025
MYC,-0.45121777524518425,-0.6263435643155344,0.17512578907035015,3.87273617432375,0.00010762030528336383,-0.5220512918388898,-0.38454466675604926,-0.6754189792458438,-0.5690604297487827,1.0,1.0,2023.0,2166.0,1.0,1.0,0.0029662846643727157
MITF,-0.5854971290005417,-0.3997359480632078,-0.18576118093733396,-3.846373474946472,0.00011987899035273182,-0.6439070131001836,-0.5249098441308027,-0.47200655010282183,-0.32116868605164933,1.0,1.0,1756.0,2105.0,1.0,1.0,0.003109802043856161
PAX8,-0.6024832111965494,-0.7317442375014183,0.1292610263048689,3.659588996259864,0.00025262009901206537,-0.6582798530512983,-0.5413712829427448,-0.772457351635349,-0.6895886472936441,1.0,1.0,1780.0,1441.0,1.0,1.0,0.006189192425795602
CCND2,-0.38322605872264304,-0.5627823437929821,0.17955628507033905,3.6226700359465203,0.0002915776687896745,-0.4559232325305964,-0.3048385739157741,-0.6235581098244225,-0.5000975570518382,1.0,1.0,2164.0,1884.0,1.0,1.0,0.006767671154539287
