gene,rho_hot_median,rho_cold_median,delta_median,delta_hdi_low,delta_hdi_high,prob_delta_negative,posterior_significant,fisher_delta,fisher_p,fisher_fdr,fisher_hot_significant
IRF4,-0.5883087414155319,-0.14715865904114409,-0.44111394360390677,-0.5567984673056467,-0.33774126213402395,1.0,True,-0.4411500823743878,2.6304155824736075e-16,1.1600132718708608e-13,True
HIC2,-0.5452791150034263,-0.31145497802745903,-0.23497810384350562,-0.3370464520701084,-0.13341980483303584,1.0,True,-0.2338241369759672,6.805416101441361e-06,0.0003001188500735,True
TEAD3,-0.47000412533871894,-0.1961803473265442,-0.27285302935056743,-0.3810580033240036,-0.16119497091851986,0.9995,True,-0.2738237780121747,1.304208922196994e-06,8.216516209841062e-05,True
MITF,-0.5854971290005417,-0.3997359480632078,-0.1856450381394016,-0.2925054092741934,-0.09018396233547099,0.9995,True,-0.1857611809373339,0.0001198789903527,0.0031098020438561,True
SOX10,-0.8724502958524144,-0.8167865770563563,-0.05522609010403112,-0.09145970036912376,-0.017946743314221525,0.999,True,-0.0556637187960581,0.0022950792906538,0.0359623729413304,True
BCL2A1,-0.2807520708816653,-0.06868766183471184,-0.21315504240980473,-0.3333251207457242,-0.07692759865179377,0.999,True,-0.2120644090469534,0.0006377411156125,0.0122279926950052,True
USP18,-0.2864963646053925,-0.0774064285099996,-0.20953436039564385,-0.32668672618129263,-0.07708457504347538,0.9985,True,-0.2090899360953929,0.000735794034658,0.0135202153868424,True
ASCL5,-0.3188508768213122,-0.10357744308607247,-0.21455188916031168,-0.3385686751788096,-0.09530515829001335,0.998,True,-0.2152734337352397,0.0004325097519314,0.0095368400300882,True
SEMA4B,-0.27989793342808067,-0.07695573161692873,-0.20547778834071373,-0.3218196997794915,-0.06858176262262561,0.998,True,-0.2029422018111519,0.0010700858068699,0.0188763136331857,True
BHLHE41,-0.2760839669005134,-0.08763019143068188,-0.18915888279277482,-0.32212795932875166,-0.0769863900508806,0.997,True,-0.1884537754698315,0.0023648725970489,0.0359623729413304,True
MDM2,-0.5730729531681107,-0.43363849502212903,-0.13960348490937233,-0.23127710642503368,-0.04425977716718116,0.9965,True,-0.1394344581459816,0.0035243907333992,0.0485705097946589,True
MAFF,-0.31852710920717575,-0.1410117042036633,-0.17733405927728896,-0.29544448662564254,-0.050961151263200666,0.995,True,-0.1775154050035124,0.0034665044397545,0.0485705097946589,True
CDH1,-0.34666977441356384,-0.16025536322343256,-0.18763431100165484,-0.3147708290516705,-0.07243849825398291,0.9945,True,-0.1864144111901312,0.0018781182415797,0.0309621191200738,True
CEP170,-0.07822454334571599,-0.2609379986418854,0.18218314546222114,0.04066598168365787,0.3021918759518174,0.0055,False,0.1827134552961694,0.003350529325189,0.0485705097946589,False
LDB1,-0.10530449812554898,-0.2963602298231598,0.1922901922158171,0.08408421304051938,0.322022450637753,0.002,False,0.1910557316976108,0.0018956399461269,0.0309621191200738,False
PXN,0.005242636736631945,-0.21556739467996403,0.21912451913219805,0.1051390675851766,0.35171852553918925,0.0015,False,0.2208100314165959,0.0004909389054497,0.0103097170144447,False
TRPS1,-0.34305678718367094,-0.5449699423351997,0.20159349289512973,0.10423159147422734,0.30964886030047817,0.001,False,0.2019131551515287,8.059003553208513e-05,0.0023693470446433,False
IGF2BP1,-0.1859178577272187,-0.3873983709316939,0.20101841410873014,0.08662309600812329,0.3258355827183763,0.001,False,0.2014805132044752,0.0006048031332513,0.0121235537165378,False
PAX8,-0.6024832111965494,-0.7317442375014183,0.1284934833214525,0.05891986863691079,0.20368386310305153,0.001,False,0.1292610263048689,0.000252620099012,0.0061891924257956,False
CCND2,-0.38322605872264304,-0.5627823437929821,0.17929086272476455,0.0785132182590152,0.29112897944656413,0.0005,False,0.179556285070339,0.0002915776687896,0.0067676711545392,False
ZNF217,-0.23140355416283329,-0.4604091110986218,0.22817695715951564,0.111339238351776,0.34108002921129393,0.0005,False,0.2290055569357885,4.6020785159995095e-05,0.0014496547325398,False
SALL1,-0.07044842956229883,-0.37247523569223606,0.3006303538184649,0.17653909527273198,0.41468168401607985,0.0,False,0.3020268061299372,6.184057519347588e-07,4.545282276720477e-05,False
BCL2,-0.13877760519030466,-0.4936680895450867,0.35513279921992147,0.2482789618198059,0.4689551263444816,0.0,False,0.354890484354782,4.473900887413518e-10,9.864951456746809e-08,False
