gene,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr,composite_score
ITGAV,-0.6808911576925998,0.1810616611919564,0.474897795292839,-0.4364194500832763,0.0003087895958705,1.0299144983558668,0.5710843373493976
FERMT2,-0.6453667866249413,0.1869227690814345,0.532889934762542,-0.3589846859088513,0.0002079432241444,1.0705093498178726,0.5569277108433734
CCND1,-0.78316255045912,0.1534623439218163,0.1639918219064824,-0.3173837691410301,0.0004383943961363,0.9903130813689869,0.5304216867469879
FOXA1,-0.6429286896957025,0.2488987135470554,0.0848805389260325,-0.4090383814998238,1.8054724031413107e-07,1.0275179799227572,0.522289156626506
IRF4,-0.689248396655272,0.5825742776163807,0.14825786634287,-0.245769944401724,0.0001418055833009,0.9686973313320015,0.5177710843373494
MYC,-0.8618085889713316,0.1227904494331644,0.1785583445334163,-0.2961422180936748,0.0017069406195707,1.05169708540569,0.5081325301204819
CDH2,-0.5708726797616083,0.1981191824928528,0.3269447313371516,-0.3306506155947967,0.0034553363117118,1.0866328287352462,0.5078313253012048
FOSL1,-0.6627860153787555,0.0624797825175319,0.2884575570209837,-0.3255558797019901,1.6149063451481486e-05,1.147307728611811,0.49969879518072285
MYB,-0.6476738245189095,0.5072610909172297,0.0948041481239625,-0.3718824192830302,0.0058575380984571,0.9825670239371279,0.49246987951807225
WWTR1,-0.5600139290065188,0.0799092108611294,0.3761420722334352,-0.3703553587056408,1.7468395381656407e-05,1.0871836465153635,0.4924698795180722
PIM2,-0.582812650019065,0.4124185407961939,0.0556535803768679,-0.333734715074051,1.3243724275926142e-07,0.9595466339114356,0.4828313253012048
GATA3,-0.7497860842311919,0.2235980781923371,0.1186050518663939,-0.1707786683628317,0.0002515567879408,0.9870196082676068,0.4746987951807229
BCL2L1,-0.6787499685732272,0.1566799962540599,0.1244355097347542,-0.2434350302072629,0.0002913742291343,1.0505777918103762,0.469578313253012
VCL,-0.3652173798883141,0.2201244690780745,0.3954666151201729,-0.398618877083938,0.0002234199786044,1.0882378961685408,0.4668674698795181
GRHL2,-0.6317113522055067,0.0493334932128253,0.1772349915608593,-0.4753904673211461,0.0001532076560642,1.001699393320673,0.46536144578313254
ZEB1,-0.7092435366423381,0.0625033865309889,0.159513261215458,-0.2795143176225234,8.384315462858941e-05,1.0318965031790266,0.46445783132530116
ITGB3,-0.6227102300871571,0.108318821334958,0.1665645829802568,-0.3057518894595316,0.0012765211045934,1.0669750982792265,0.4632530120481928
TP63,-0.8795240342991915,0.156021712832277,0.1306424166596856,-0.2136192784552345,0.0047789992705884,0.9494020671962959,0.46295180722891566
FAM120A,-0.6763155980423698,0.124302442775512,0.0567063267764886,-0.303204083231306,1.7616542783427253e-07,0.986941331472271,0.4587349397590362
MECOM,-0.6881381654090726,0.1969746413017714,0.0733212537931063,-0.3180766455301204,0.0054975033777698,0.9562950975870651,0.45843373493975903
FOXA2,-0.7426857249295113,0.1929134061537741,0.0636731963263966,-0.198880871098691,2.9970626414941e-06,1.0799547967603107,0.4575301204819277
ERBB2,-0.7166401063111142,0.0616658891313844,0.0783287318024434,-0.391922587360112,2.43269199834822e-05,1.0004474365887246,0.45481927710843373
RAC1,-0.4723492779362262,0.3477443885508416,0.3057200672698913,-0.2784940864414645,0.0021157261305795,1.1005059946853342,0.4539156626506024
BCL2,-0.5732373787485292,0.0725677976946781,0.121025434102627,-0.3194739169822758,2.6248816532532567e-10,0.9380641256901517,0.4503012048192771
JUN,-0.5414768435611175,0.0717473960826236,0.3876255703564928,-0.3324849881219518,0.0014207423429326,1.0593556527407755,0.446987951807229
MITF,-0.6988637043446713,0.0930274018261883,0.0598970627297889,-0.2955342250437077,2.2338687695776333e-07,1.0094695727019136,0.44638554216867465
SOX2,-0.6564231391520094,0.3319245396056828,0.0738860749278937,-0.1685087782350857,6.436590849251586e-06,1.0922628476308271,0.4457831325301205
FGFR1,-0.5938559729552133,0.0596511928334497,0.2472214738410248,-0.2676717457505918,4.96510754385232e-05,1.0740778492702556,0.4451807228915663
CMIP,-0.8053754205775727,0.1680049663762703,0.1477571087052742,-0.1545114573509058,0.0263392067580974,1.039658233537722,0.4391566265060241
MDM2,-0.768445791637984,0.1152946552059931,0.0298876603116583,-0.4588864956469118,0.1007473956947025,0.9717987480644557,0.43734939759036146
PARD6B,-0.6851873545442143,0.0401097402345638,0.1385960375492933,-0.315160102132765,0.0001283048035363,0.9954510270990731,0.43644578313253013
TRPS1,-0.7083433815190138,0.2590871421849811,0.0822665085837574,0.1500387467894273,0.00082214520291,1.0302131422583647,0.43524096385542166
CD44,-0.5452012083108316,0.1096598588183519,0.1444274701414383,-0.3504932439895247,0.003483692501108,1.0418178284156843,0.43222891566265065
PXN,-0.3611903975574227,0.169178138812886,0.1959459681811525,-0.3604457517464942,0.0009317695555313,1.0639893674730705,0.4231927710843374
TNS3,-0.5661656882998967,0.0521753676418775,0.1787363881164824,-0.296398223212232,9.711344933783252e-05,0.996112192988473,0.4228915662650602
ZEB2,-0.6052255372294114,0.0889174481181547,0.1598186359175234,-0.2664116059944777,0.0035223674689724,1.0575369772361645,0.42259036144578316
CFLAR,-0.5561185706045861,0.0712031383258978,0.2552255031524177,-0.237658881065136,0.0001550383132858,1.0151742711019294,0.422289156626506
BCL6,-0.6436338761149006,0.2028674537227586,0.1071008609833557,0.1500544576798674,0.0004490438044858,1.007506858349187,0.4219879518072289
NCKAP1,-0.5216031927051586,0.5852788639353903,0.3118823515188057,,3.913790665485253e-05,1.0346871566277698,0.4198795180722892
ITGB5,-0.5554351397855425,0.0428119694530266,0.3396768059163624,-0.4248467954079245,0.0102738185681909,1.0463631398422648,0.4198795180722892
CCND3,-0.674718557914593,0.1980450804135344,0.124740151158376,-0.1598393582957179,0.0165918456388587,1.0131728235580386,0.4198795180722892
CCNE1,-0.6618725246370626,0.0669066841422457,0.0870308332496919,-0.2319638201591967,4.688932092015521e-11,1.0987645281791374,0.41897590361445786
PIK3CD,-0.5582655791400644,0.2664521517015281,0.0768761250905777,-0.3123637529992276,0.0206256142256111,1.022785865251743,0.41686746987951806
KLHL9,-0.5650245001638667,0.1135023610628634,0.125747926127598,-0.1648216342969796,1.8110949857394434e-09,0.9311743716880923,0.41355421686746985
RBM47,-0.3615677905825952,0.1506908040917805,0.0968767775295441,-0.4098875141406736,1.4157034037823027e-11,0.938207593520264,0.4126506024096386
ARF4,-0.4320115695610332,0.1309181939133571,0.2274893354487045,-0.3410066969341743,0.0097607224130102,1.0501309747200693,0.41084337349397587
PPM1D,-0.6223171964212143,0.0889253099335485,0.0584196229174624,-0.2777533131395126,5.683333881892308e-06,0.9696908983268913,0.40963855421686746
ZFP36L1,-0.5346347587885409,0.0866143517709626,0.3073222538418246,-0.2874917150372866,0.046394463463909,1.0389241301893344,0.402710843373494
ILK,-0.3541432862543108,0.1344109913814557,0.3165557049456376,-0.2989876229083258,0.0014821392045169,1.0673771342320468,0.4009036144578313
MAFF,-0.58092343802655,0.1147412821555946,0.0812314592334028,-0.2776825119759281,0.0011967880060567,1.0815940110030433,0.4006024096385542
TRIO,-0.462793433196715,0.0910188734704276,0.3095365758929954,-0.314325791823528,0.006177261710255,1.0998790138912105,0.40030120481927706
YAP1,-0.5336096473527561,0.0832234644905378,0.1325494771581618,-0.3078183806939005,0.0010903142217813,1.0197901347622587,0.3993975903614458
LPAR1,-0.6885935833850634,0.0338780513911072,0.2058583188722478,-0.2590755153834613,0.0109683437272429,1.011461206915024,0.3978915662650602
ZNF217,-0.7557425100502437,0.1416417991059232,0.1493679694246497,,0.0168902265810059,0.9910059867993704,0.397289156626506
PHLDB2,-0.4246633394791678,0.1184877949046626,0.151106465305306,-0.2671924279278238,1.9263923109889785e-06,1.0365078523727027,0.3936746987951807
KLF5,-0.5670360354629245,0.0136027421821998,0.1690201804666212,-0.4720827308045306,0.0009948726048752,0.9713408769623054,0.3903614457831325
ZBTB7B,-0.6011834586916774,0.093625841649515,0.1061625149633514,-0.2360987330307764,0.0022113733239417,0.9845268959733555,0.38975903614457835
