gene,composite_score,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr
ITGAV,0.8627570012396447,-0.6808911576925998,-0.1810616611919564,0.474897795292839,-0.4364194500832763,0.0003087895958705,1.0299144983558668
FERMT2,0.8350792354490315,-0.6453667866249413,-0.1869227690814345,0.532889934762542,-0.3589846859088513,0.0002079432241444,1.0705093498178726
ELMO2,0.7959337349397589,-0.6521017407304487,-0.0694964014318214,0.4108809954186909,,,
ASCL5,0.7906626506024096,-0.7278322908914009,-0.2071310072883716,0.1001225183085319,,,
CCND1,0.7801091429148209,-0.78316255045912,-0.1534623439218163,0.1639918219064824,-0.3173837691410301,0.0004383943961363,0.9903130813689869
FOSL1,0.7788055278452511,-0.6627860153787555,-0.0624797825175319,0.2884575570209837,-0.3255558797019901,1.6149063451481486e-05,1.147307728611811
WWTR1,0.7682468313030164,-0.5600139290065188,-0.0799092108611294,0.3761420722334352,-0.3703553587056408,1.7468395381656407e-05,1.0871836465153635
NCKAP1,0.7612220309810671,-0.5216031927051586,-0.5852788639353903,0.3118823515188057,,3.913790665485253e-05,1.0346871566277698
GRHL2,0.7491592744604793,-0.6317113522055067,-0.0493334932128253,0.1772349915608593,-0.4753904673211461,0.0001532076560642,1.001699393320673
HIC2,0.7439759036144578,-0.7214238009521898,-0.1659172490935062,0.0827663183248286,,,
IRF2BP2,0.7387048192771084,-0.5468347521222163,-0.2427511760151416,0.1793120206371024,,,
CDH2,0.7338552774912073,-0.5708726797616083,-0.1981191824928528,0.3269447313371516,-0.3306506155947967,0.0034553363117118,1.0866328287352462
IRF4,0.7269043096551149,-0.689248396655272,-0.5825742776163807,0.14825786634287,-0.245769944401724,0.0001418055833009,0.9686973313320015
PIM2,0.7233007320326895,-0.582812650019065,-0.4124185407961939,0.0556535803768679,-0.333734715074051,1.3243724275926142e-07,0.9595466339114356
BCL2,0.7081561366781455,-0.5732373787485292,-0.0725677976946781,0.121025434102627,-0.3194739169822758,2.6248816532532567e-10,0.9380641256901517
MYB,0.705625898218049,-0.6476738245189095,-0.5072610909172297,0.0948041481239625,-0.3718824192830302,0.0058575380984571,0.9825670239371279
GPX8,0.7048192771084336,-0.5536005025755486,-0.0997808753725414,0.2866562048698416,,,
ZEB1,0.7005986299675908,-0.7092435366423381,-0.0625033865309889,0.159513261215458,-0.2795143176225234,8.384315462858941e-05,1.0318965031790266
B2M,0.6942771084337349,-0.6356279811258705,-0.0390018804612097,0.2116308745708264,,,
VCL,0.6935090596309731,-0.3652173798883141,-0.2201244690780745,0.3954666151201729,-0.398618877083938,0.0002234199786044,1.0882378961685408
FAM120A,0.6911949833934804,-0.6763155980423698,-0.124302442775512,0.0567063267764886,-0.303204083231306,1.7616542783427253e-07,0.986941331472271
PARD6B,0.6885882339061391,-0.6851873545442143,-0.0401097402345638,0.1385960375492933,-0.315160102132765,0.0001283048035363,0.9954510270990731
BTBD3,0.6859939759036143,-0.5515696074291804,-0.1098922141211962,0.1910298548773998,,,
ITGB3,0.6780366160540322,-0.6227102300871571,-0.108318821334958,0.1665645829802568,-0.3057518894595316,0.0012765211045934,1.0669750982792265
MITF,0.6754823013083778,-0.6988637043446713,-0.0930274018261883,0.0598970627297889,-0.2955342250437077,2.2338687695776333e-07,1.0094695727019136
JUN,0.6737940337129172,-0.5414768435611175,-0.0717473960826236,0.3876255703564928,-0.3324849881219518,0.0014207423429326,1.0593556527407755
RELA,0.6701807228915663,-0.4864704342749151,-0.137974042308461,0.3049887919284142,,,
FGFR1,0.6699691377849554,-0.5938559729552133,-0.0596511928334497,0.2472214738410248,-0.2676717457505918,4.96510754385232e-05,1.0740778492702556
TSPAN4,0.6618975903614457,-0.5882976680911488,-0.0685326591639022,0.1601941281351498,,,
BCL2L1,0.6606095800894799,-0.6787499685732272,-0.1566799962540599,0.1244355097347542,-0.2434350302072629,0.0002913742291343,1.0505777918103762
