gene,composite_score,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr
FOSL1,0.5412650602409639,-0.6627860153787555,0.1165165117517449,0.2884575570209837,-0.3255558797019901,1.6149063451481486e-05,1.147307728611811
MYC,0.5316265060240963,-0.8618085889713316,0.1751257890703501,0.1785583445334163,-0.2961422180936748,0.0017069406195707,1.05169708540569
FOXA1,0.5240963855421688,-0.6429286896957025,0.2368470893999451,0.0848805389260325,-0.4090383814998238,1.8054724031413107e-07,1.0275179799227572
FERMT2,0.5207831325301204,-0.6453667866249413,0.0842151305063975,0.532889934762542,-0.3589846859088513,0.0002079432241444,1.0705093498178726
WWTR1,0.5204819277108433,-0.5600139290065188,0.1166364261390593,0.3761420722334352,-0.3703553587056408,1.7468395381656407e-05,1.0871836465153635
IRF4,0.5186746987951808,-0.689248396655272,0.4411500823743878,0.14825786634287,-0.245769944401724,0.0001418055833009,0.9686973313320015
BCL2,0.5171686746987951,-0.5732373787485292,0.354890484354782,0.121025434102627,-0.3194739169822758,2.6248816532532567e-10,0.9380641256901517
CDH2,0.5033132530120481,-0.5708726797616083,0.1547609987509505,0.3269447313371516,-0.3306506155947967,0.0034553363117118,1.0866328287352462
MITF,0.4879518072289156,-0.6988637043446713,0.1857611809373339,0.0598970627297889,-0.2955342250437077,2.2338687695776333e-07,1.0094695727019136
TCF7L2,0.4876506024096385,-0.5800923393691025,0.1495598113524723,0.1309716765656872,-0.2810734391439689,9.674914831460944e-09,0.9834709174609981
GATA3,0.48463855421686747,-0.7497860842311919,0.2971212402576642,0.1186050518663939,-0.1707786683628317,0.0002515567879408,0.9870196082676068
ZEB1,0.47259036144578315,-0.7092435366423381,0.0737272472098911,0.159513261215458,-0.2795143176225234,8.384315462858941e-05,1.0318965031790266
FAM120A,0.47228915662650606,-0.6763155980423698,0.1384569375465447,0.0567063267764886,-0.303204083231306,1.7616542783427253e-07,0.986941331472271
ITGB3,0.4713855421686747,-0.6227102300871571,0.1130658324298548,0.1665645829802568,-0.3057518894595316,0.0012765211045934,1.0669750982792265
FOXA2,0.4674698795180723,-0.7426857249295113,0.2070388036585912,0.0636731963263966,-0.198880871098691,2.9970626414941e-06,1.0799547967603107
GRHL2,0.4626506024096385,-0.6317113522055067,0.0480576426577867,0.1772349915608593,-0.4753904673211461,0.0001532076560642,1.001699393320673
ITGB5,0.4587349397590361,-0.5554351397855425,0.0797730881664438,0.3396768059163624,-0.4248467954079245,0.0102738185681909,1.0463631398422648
MECOM,0.4566265060240964,-0.6881381654090726,0.1594058496783681,0.0733212537931063,-0.3180766455301204,0.0054975033777698,0.9562950975870651
MDM2,0.45542168674698796,-0.768445791637984,0.1394344581459816,0.0298876603116583,-0.4588864956469118,0.1007473956947025,0.9717987480644557
ITGAV,0.4536144578313253,-0.6808911576925998,0.0103478556061336,0.474897795292839,-0.4364194500832763,0.0003087895958705,1.0299144983558668
CCND2,0.4536144578313253,-0.7323029571686276,0.179556285070339,0.0865562947876636,-0.161605683586014,9.91150116653778e-05,0.943266615923115
ZEB2,0.4496987951807229,-0.6052255372294114,0.1259614538757075,0.1598186359175234,-0.2664116059944777,0.0035223674689724,1.0575369772361645
PARD6B,0.4490963855421686,-0.6851873545442143,0.0540014494992474,0.1385960375492933,-0.315160102132765,0.0001283048035363,0.9954510270990731
SOX2,0.4475903614457831,-0.6564231391520094,0.2958790880847712,0.0738860749278937,-0.1685087782350857,6.436590849251586e-06,1.0922628476308271
CFLAR,0.4412650602409638,-0.5561185706045861,0.090351557862302,0.2552255031524177,-0.237658881065136,0.0001550383132858,1.0151742711019294
PXN,0.43855421686746987,-0.3611903975574227,0.2208100314165959,0.1959459681811525,-0.3604457517464942,0.0009317695555313,1.0639893674730705
CMIP,0.43734939759036146,-0.8053754205775727,0.1359589598066519,0.1477571087052742,-0.1545114573509058,0.0263392067580974,1.039658233537722
CCND1,0.43644578313253013,-0.78316255045912,0.0251501583671798,0.1639918219064824,-0.3173837691410301,0.0004383943961363,0.9903130813689869
TRPS1,0.4307228915662651,-0.7083433815190138,0.2019131551515287,0.0822665085837574,0.1500387467894273,0.00082214520291,1.0302131422583647
LPAR1,0.42951807228915656,-0.6885935833850634,0.0665300386971215,0.2058583188722478,-0.2590755153834613,0.0109683437272429,1.011461206915024
